"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.04.2021 06:30 - 01.04.2021 06:45","55439","57337"
"01.04.2021 06:45 - 01.04.2021 07:00","56557","58318"
"01.04.2021 07:00 - 01.04.2021 07:15","58188","59933"
"01.04.2021 07:15 - 01.04.2021 07:30","59385","60847"
"01.04.2021 07:30 - 01.04.2021 07:45","60118","61631"
"01.04.2021 07:45 - 01.04.2021 08:00","60649","62691"
"01.04.2021 08:00 - 01.04.2021 08:15","61479","63568"
"01.04.2021 08:15 - 01.04.2021 08:30","61923","64209"
"01.04.2021 08:30 - 01.04.2021 08:45","62386","64826"
"01.04.2021 08:45 - 01.04.2021 09:00","62895","65138"
"01.04.2021 09:00 - 01.04.2021 09:15","62365","64823"
"01.04.2021 09:15 - 01.04.2021 09:30","62733","65168"
"01.04.2021 09:30 - 01.04.2021 09:45","63265","65568"
"01.04.2021 09:45 - 01.04.2021 10:00","63410","66280"
"01.04.2021 10:00 - 01.04.2021 10:15","63203","66357"
"01.04.2021 10:15 - 01.04.2021 10:30","63629","66627"
"01.04.2021 10:30 - 01.04.2021 10:45","63817","66893"
"01.04.2021 10:45 - 01.04.2021 11:00","64126","66936"
"01.04.2021 11:00 - 01.04.2021 11:15","64716","67340"
"01.04.2021 11:15 - 01.04.2021 11:30","65161","67623"
"01.04.2021 11:30 - 01.04.2021 11:45","65294","68048"
"01.04.2021 11:45 - 01.04.2021 12:00","65752","67903"
"01.04.2021 12:00 - 01.04.2021 12:15","65461","67313"
"01.04.2021 12:15 - 01.04.2021 12:30","65181","67214"
"01.04.2021 12:30 - 01.04.2021 12:45","64996","67407"
"01.04.2021 12:45 - 01.04.2021 13:00","65276","66862"
"01.04.2021 13:00 - 01.04.2021 13:15","64672","66486"
"01.04.2021 13:15 - 01.04.2021 13:30","64298","65965"
"01.04.2021 13:30 - 01.04.2021 13:45","63543","65443"
"01.04.2021 13:45 - 01.04.2021 14:00","62850","65192"
"01.04.2021 14:00 - 01.04.2021 14:15","62618","64848"
"01.04.2021 14:15 - 01.04.2021 14:30","62291","64638"
"01.04.2021 14:30 - 01.04.2021 14:45","62347","64417"
"01.04.2021 14:45 - 01.04.2021 15:00","62406","63697"
"01.04.2021 15:00 - 01.04.2021 15:15","62039","63564"
"01.04.2021 15:15 - 01.04.2021 15:30","61558","63433"
"01.04.2021 15:30 - 01.04.2021 15:45","61280","62575"
"01.04.2021 15:45 - 01.04.2021 16:00","60883","62248"
"01.04.2021 16:00 - 01.04.2021 16:15","60820","62439"
"01.04.2021 16:15 - 01.04.2021 16:30","60212","62162"
"01.04.2021 16:30 - 01.04.2021 16:45","59945","61617"
"01.04.2021 16:45 - 01.04.2021 17:00","59720","61615"
"01.04.2021 17:00 - 01.04.2021 17:15","59910","61871"
"01.04.2021 17:15 - 01.04.2021 17:30","59860","62038"
"01.04.2021 17:30 - 01.04.2021 17:45","59944","62047"
"01.04.2021 17:45 - 01.04.2021 18:00","60177","61677"
"01.04.2021 18:00 - 01.04.2021 18:15","60259","61780"
"01.04.2021 18:15 - 01.04.2021 18:30","60610","61745"
"01.04.2021 18:30 - 01.04.2021 18:45","60705","61757"
"01.04.2021 18:45 - 01.04.2021 19:00","60849","62055"
"01.04.2021 19:00 - 01.04.2021 19:15","61205","62095"
"01.04.2021 19:15 - 01.04.2021 19:30","61263","61688"
"01.04.2021 19:30 - 01.04.2021 19:45","61435","61672"
"01.04.2021 19:45 - 01.04.2021 20:00","61440","61593"
"01.04.2021 20:00 - 01.04.2021 20:15","60672","61563"
"01.04.2021 20:15 - 01.04.2021 20:30","59881","61252"
"01.04.2021 20:30 - 01.04.2021 20:45","59057","60916"
"01.04.2021 20:45 - 01.04.2021 21:00","58563","60214"
"01.04.2021 21:00 - 01.04.2021 21:15","57565","59115"
"01.04.2021 21:15 - 01.04.2021 21:30","56795","58178"
"01.04.2021 21:30 - 01.04.2021 21:45","55787","56900"
"01.04.2021 21:45 - 01.04.2021 22:00","55315","55980"
"01.04.2021 22:00 - 01.04.2021 22:15","55199","55357"
"01.04.2021 22:15 - 01.04.2021 22:30","54480","54391"
"01.04.2021 22:30 - 01.04.2021 22:45","53698","53273"
"01.04.2021 22:45 - 01.04.2021 23:00","52629","52327"
"01.04.2021 23:00 - 01.04.2021 23:15","51587","51106"
"01.04.2021 23:15 - 01.04.2021 23:30","50419","50138"
"01.04.2021 23:30 - 01.04.2021 23:45","49655","49309"
"01.04.2021 23:45 - 02.04.2021 00:00","49065","48410"
"02.04.2021 00:00 - 02.04.2021 00:15","43123","47206"
"02.04.2021 00:15 - 02.04.2021 00:30","42831","46258"
"02.04.2021 00:30 - 02.04.2021 00:45","42439","45932"
"02.04.2021 00:45 - 02.04.2021 01:00","42112","45354"
"02.04.2021 01:00 - 02.04.2021 01:15","41599","44844"
"02.04.2021 01:15 - 02.04.2021 01:30","41018","44084"
"02.04.2021 01:30 - 02.04.2021 01:45","40739","43951"
"02.04.2021 01:45 - 02.04.2021 02:00","40235","43734"
"02.04.2021 02:00 - 02.04.2021 02:15","40164","43015"
"02.04.2021 02:15 - 02.04.2021 02:30","40295","42972"
"02.04.2021 02:30 - 02.04.2021 02:45","40102","42782"
"02.04.2021 02:45 - 02.04.2021 03:00","40193","42747"
"02.04.2021 03:00 - 02.04.2021 03:15","39938","42500"
"02.04.2021 03:15 - 02.04.2021 03:30","40042","42566"
"02.04.2021 03:30 - 02.04.2021 03:45","40113","42653"
"02.04.2021 03:45 - 02.04.2021 04:00","40153","42630"
"02.04.2021 04:00 - 02.04.2021 04:15","40062","42913"
"02.04.2021 04:15 - 02.04.2021 04:30","40232","42815"
"02.04.2021 04:30 - 02.04.2021 04:45","40016","42923"
"02.04.2021 04:45 - 02.04.2021 05:00","40578","42724"
"02.04.2021 05:00 - 02.04.2021 05:15","40838","42497"
"02.04.2021 05:15 - 02.04.2021 05:30","40315","42451"
"02.04.2021 05:30 - 02.04.2021 05:45","40388","42311"
"02.04.2021 05:45 - 02.04.2021 06:00","40082","42031"
"02.04.2021 06:00 - 02.04.2021 06:15","40181","42424"
"02.04.2021 06:15 - 02.04.2021 06:30","40535","42676"
"02.04.2021 06:30 - 02.04.2021 06:45","40531","42645"
"02.04.2021 06:45 - 02.04.2021 07:00","40723","42538"
"02.04.2021 07:00 - 02.04.2021 07:15","41171","42974"
"02.04.2021 07:15 - 02.04.2021 07:30","41860","43487"
"02.04.2021 07:30 - 02.04.2021 07:45","42083","44300"
"02.04.2021 07:45 - 02.04.2021 08:00","42354","45062"
"02.04.2021 08:00 - 02.04.2021 08:15","43255","46190"
"02.04.2021 08:15 - 02.04.2021 08:30","43753","46916"
"02.04.2021 08:30 - 02.04.2021 08:45","44491","48024"
"02.04.2021 08:45 - 02.04.2021 09:00","45486","48902"
"02.04.2021 09:00 - 02.04.2021 09:15","45724","49779"
"02.04.2021 09:15 - 02.04.2021 09:30","46696","50823"
"02.04.2021 09:30 - 02.04.2021 09:45","47427","51613"
"02.04.2021 09:45 - 02.04.2021 10:00","47848","52544"
"02.04.2021 10:00 - 02.04.2021 10:15","48272","53323"
"02.04.2021 10:15 - 02.04.2021 10:30","49158","54081"
"02.04.2021 10:30 - 02.04.2021 10:45","49336","54645"
"02.04.2021 10:45 - 02.04.2021 11:00","50156","55189"
"02.04.2021 11:00 - 02.04.2021 11:15","50910","55207"
"02.04.2021 11:15 - 02.04.2021 11:30","51367","56154"
"02.04.2021 11:30 - 02.04.2021 11:45","51694","56608"
"02.04.2021 11:45 - 02.04.2021 12:00","52013","56772"
"02.04.2021 12:00 - 02.04.2021 12:15","51855","56445"
"02.04.2021 12:15 - 02.04.2021 12:30","51769","56288"
"02.04.2021 12:30 - 02.04.2021 12:45","51327","56547"
"02.04.2021 12:45 - 02.04.2021 13:00","51449","55932"
"02.04.2021 13:00 - 02.04.2021 13:15","50264","55737"
"02.04.2021 13:15 - 02.04.2021 13:30","49756","54746"
"02.04.2021 13:30 - 02.04.2021 13:45","49050","53983"
"02.04.2021 13:45 - 02.04.2021 14:00","48562","53296"
"02.04.2021 14:00 - 02.04.2021 14:15","47980","52972"
"02.04.2021 14:15 - 02.04.2021 14:30","47528","52509"
"02.04.2021 14:30 - 02.04.2021 14:45","47429","52349"
"02.04.2021 14:45 - 02.04.2021 15:00","47561","52055"
"02.04.2021 15:00 - 02.04.2021 15:15","47159","51988"
"02.04.2021 15:15 - 02.04.2021 15:30","46867","51816"
"02.04.2021 15:30 - 02.04.2021 15:45","46978","51400"
"02.04.2021 15:45 - 02.04.2021 16:00","47033","51198"
"02.04.2021 16:00 - 02.04.2021 16:15","47009","51036"
"02.04.2021 16:15 - 02.04.2021 16:30","46727","51085"
"02.04.2021 16:30 - 02.04.2021 16:45","46671","50920"
"02.04.2021 16:45 - 02.04.2021 17:00","46734","50940"
"02.04.2021 17:00 - 02.04.2021 17:15","47063","51332"
"02.04.2021 17:15 - 02.04.2021 17:30","47331","51563"
"02.04.2021 17:30 - 02.04.2021 17:45","47606","51645"
"02.04.2021 17:45 - 02.04.2021 18:00","48056","51962"
"02.04.2021 18:00 - 02.04.2021 18:15","48944","52777"
"02.04.2021 18:15 - 02.04.2021 18:30","49334","53126"
"02.04.2021 18:30 - 02.04.2021 18:45","49899","53190"
"02.04.2021 18:45 - 02.04.2021 19:00","50054","53492"
"02.04.2021 19:00 - 02.04.2021 19:15","50661","54041"
"02.04.2021 19:15 - 02.04.2021 19:30","50211","53897"
"02.04.2021 19:30 - 02.04.2021 19:45","50705","53850"
"02.04.2021 19:45 - 02.04.2021 20:00","50549","53707"
"02.04.2021 20:00 - 02.04.2021 20:15","50026","53866"
"02.04.2021 20:15 - 02.04.2021 20:30","49439","54056"
"02.04.2021 20:30 - 02.04.2021 20:45","49456","53351"
"02.04.2021 20:45 - 02.04.2021 21:00","49290","52644"
"02.04.2021 21:00 - 02.04.2021 21:15","48392","51928"
"02.04.2021 21:15 - 02.04.2021 21:30","48168","51317"
"02.04.2021 21:30 - 02.04.2021 21:45","47855","50968"
"02.04.2021 21:45 - 02.04.2021 22:00","47847","50763"
"02.04.2021 22:00 - 02.04.2021 22:15","47789","50597"
"02.04.2021 22:15 - 02.04.2021 22:30","47204","50148"
"02.04.2021 22:30 - 02.04.2021 22:45","47043","49398"
"02.04.2021 22:45 - 02.04.2021 23:00","46157","48843"
"02.04.2021 23:00 - 02.04.2021 23:15","45709","47771"
"02.04.2021 23:15 - 02.04.2021 23:30","44945","47137"
"02.04.2021 23:30 - 02.04.2021 23:45","44296","46305"
"02.04.2021 23:45 - 03.04.2021 00:00","43656","45789"
"03.04.2021 00:00 - 03.04.2021 00:15","44121","45127"
"03.04.2021 00:15 - 03.04.2021 00:30","43263","44869"
"03.04.2021 00:30 - 03.04.2021 00:45","42797","44443"
"03.04.2021 00:45 - 03.04.2021 01:00","42384","43949"
"03.04.2021 01:00 - 03.04.2021 01:15","41815","43151"
"03.04.2021 01:15 - 03.04.2021 01:30","41479","42766"
"03.04.2021 01:30 - 03.04.2021 01:45","41152","42424"
"03.04.2021 01:45 - 03.04.2021 02:00","40804","41945"
"03.04.2021 02:00 - 03.04.2021 02:15","40685","41872"
"03.04.2021 02:15 - 03.04.2021 02:30","40600","41615"
"03.04.2021 02:30 - 03.04.2021 02:45","40514","41429"
"03.04.2021 02:45 - 03.04.2021 03:00","40337","41348"
"03.04.2021 03:00 - 03.04.2021 03:15","40540","41475"
"03.04.2021 03:15 - 03.04.2021 03:30","40565","41512"
"03.04.2021 03:30 - 03.04.2021 03:45","40578","41890"
"03.04.2021 03:45 - 03.04.2021 04:00","40568","41875"
"03.04.2021 04:00 - 03.04.2021 04:15","40831","42027"
"03.04.2021 04:15 - 03.04.2021 04:30","40827","41883"
"03.04.2021 04:30 - 03.04.2021 04:45","41056","42125"
"03.04.2021 04:45 - 03.04.2021 05:00","41405","42535"
"03.04.2021 05:00 - 03.04.2021 05:15","42148","42944"
"03.04.2021 05:15 - 03.04.2021 05:30","42297","43074"
"03.04.2021 05:30 - 03.04.2021 05:45","42535","43327"
"03.04.2021 05:45 - 03.04.2021 06:00","43357","43561"
"03.04.2021 06:00 - 03.04.2021 06:15","44075","44074"
"03.04.2021 06:15 - 03.04.2021 06:30","44600","44593"
"03.04.2021 06:30 - 03.04.2021 06:45","44919","44711"
"03.04.2021 06:45 - 03.04.2021 07:00","46043","44893"
"03.04.2021 07:00 - 03.04.2021 07:15","46832","45490"
"03.04.2021 07:15 - 03.04.2021 07:30","46661","46126"
"03.04.2021 07:30 - 03.04.2021 07:45","47135","46790"
"03.04.2021 07:45 - 03.04.2021 08:00","47991","47648"
"03.04.2021 08:00 - 03.04.2021 08:15","49010","48526"
"03.04.2021 08:15 - 03.04.2021 08:30","49898","49413"
"03.04.2021 08:30 - 03.04.2021 08:45","50192","50307"
"03.04.2021 08:45 - 03.04.2021 09:00","51012","51120"
"03.04.2021 09:00 - 03.04.2021 09:15","51914","51768"
"03.04.2021 09:15 - 03.04.2021 09:30","52730","52310"
"03.04.2021 09:30 - 03.04.2021 09:45","53282","52964"
"03.04.2021 09:45 - 03.04.2021 10:00","54218","53442"
"03.04.2021 10:00 - 03.04.2021 10:15","54136","54155"
"03.04.2021 10:15 - 03.04.2021 10:30","54288","54679"
"03.04.2021 10:30 - 03.04.2021 10:45","54972","55106"
"03.04.2021 10:45 - 03.04.2021 11:00","55747","55361"
"03.04.2021 11:00 - 03.04.2021 11:15","56032","55799"
"03.04.2021 11:15 - 03.04.2021 11:30","56517","55935"
"03.04.2021 11:30 - 03.04.2021 11:45","56522","56381"
"03.04.2021 11:45 - 03.04.2021 12:00","56602","56242"
"03.04.2021 12:00 - 03.04.2021 12:15","56056","56170"
"03.04.2021 12:15 - 03.04.2021 12:30","56106","55986"
"03.04.2021 12:30 - 03.04.2021 12:45","55847","55572"
"03.04.2021 12:45 - 03.04.2021 13:00","55403","55243"
"03.04.2021 13:00 - 03.04.2021 13:15","54461","55101"
"03.04.2021 13:15 - 03.04.2021 13:30","54327","54198"
"03.04.2021 13:30 - 03.04.2021 13:45","53884","54404"
"03.04.2021 13:45 - 03.04.2021 14:00","53051","53439"
"03.04.2021 14:00 - 03.04.2021 14:15","52621","52748"
"03.04.2021 14:15 - 03.04.2021 14:30","52096","52736"
"03.04.2021 14:30 - 03.04.2021 14:45","51704","52556"
"03.04.2021 14:45 - 03.04.2021 15:00","51783","52315"
"03.04.2021 15:00 - 03.04.2021 15:15","51463","52391"
"03.04.2021 15:15 - 03.04.2021 15:30","51020","52372"
"03.04.2021 15:30 - 03.04.2021 15:45","51157","52041"
"03.04.2021 15:45 - 03.04.2021 16:00","50854","51597"
"03.04.2021 16:00 - 03.04.2021 16:15","50769","51578"
"03.04.2021 16:15 - 03.04.2021 16:30","50416","51538"
"03.04.2021 16:30 - 03.04.2021 16:45","50244","51458"
"03.04.2021 16:45 - 03.04.2021 17:00","50152","51168"
"03.04.2021 17:00 - 03.04.2021 17:15","50815","52061"
"03.04.2021 17:15 - 03.04.2021 17:30","50853","52020"
"03.04.2021 17:30 - 03.04.2021 17:45","51207","52431"
"03.04.2021 17:45 - 03.04.2021 18:00","51583","52244"
"03.04.2021 18:00 - 03.04.2021 18:15","52215","53245"
"03.04.2021 18:15 - 03.04.2021 18:30","52473","52987"
"03.04.2021 18:30 - 03.04.2021 18:45","52596","52902"
"03.04.2021 18:45 - 03.04.2021 19:00","52873","53072"
"03.04.2021 19:00 - 03.04.2021 19:15","53303","53533"
"03.04.2021 19:15 - 03.04.2021 19:30","52891","52964"
"03.04.2021 19:30 - 03.04.2021 19:45","52800","53017"
"03.04.2021 19:45 - 03.04.2021 20:00","52463","52931"
"03.04.2021 20:00 - 03.04.2021 20:15","51734","53309"
"03.04.2021 20:15 - 03.04.2021 20:30","50739","53086"
"03.04.2021 20:30 - 03.04.2021 20:45","50165","52661"
"03.04.2021 20:45 - 03.04.2021 21:00","49684","52249"
"03.04.2021 21:00 - 03.04.2021 21:15","49055","51477"
"03.04.2021 21:15 - 03.04.2021 21:30","48413","50795"
"03.04.2021 21:30 - 03.04.2021 21:45","47857","50359"
"03.04.2021 21:45 - 03.04.2021 22:00","47560","49730"
"03.04.2021 22:00 - 03.04.2021 22:15","47763","50096"
"03.04.2021 22:15 - 03.04.2021 22:30","47364","49230"
"03.04.2021 22:30 - 03.04.2021 22:45","46480","48413"
"03.04.2021 22:45 - 03.04.2021 23:00","45846","47915"
"03.04.2021 23:00 - 03.04.2021 23:15","44881","46798"
"03.04.2021 23:15 - 03.04.2021 23:30","44162","45961"
"03.04.2021 23:30 - 03.04.2021 23:45","43638","45536"
"03.04.2021 23:45 - 04.04.2021 00:00","43084","44607"
"04.04.2021 00:00 - 04.04.2021 00:15","43004","43912"
"04.04.2021 00:15 - 04.04.2021 00:30","42596","43005"
"04.04.2021 00:30 - 04.04.2021 00:45","42292","42585"
"04.04.2021 00:45 - 04.04.2021 01:00","41981","42159"
"04.04.2021 01:00 - 04.04.2021 01:15","41318","41216"
"04.04.2021 01:15 - 04.04.2021 01:30","40653","40856"
"04.04.2021 01:30 - 04.04.2021 01:45","40489","40559"
"04.04.2021 01:45 - 04.04.2021 02:00","40258","40180"
"04.04.2021 02:00 - 04.04.2021 02:15","40023","39658"
"04.04.2021 02:15 - 04.04.2021 02:30","39754","39778"
"04.04.2021 02:30 - 04.04.2021 02:45","39709","39954"
"04.04.2021 02:45 - 04.04.2021 03:00","39732","39701"
"04.04.2021 03:00 - 04.04.2021 03:15","39422","39752"
"04.04.2021 03:15 - 04.04.2021 03:30","39418","39678"
"04.04.2021 03:30 - 04.04.2021 03:45","39374","39855"
"04.04.2021 03:45 - 04.04.2021 04:00","39487","39883"
"04.04.2021 04:00 - 04.04.2021 04:15","39377","39903"
"04.04.2021 04:15 - 04.04.2021 04:30","39614","39708"
"04.04.2021 04:30 - 04.04.2021 04:45","39453","39823"
"04.04.2021 04:45 - 04.04.2021 05:00","39546","39995"
"04.04.2021 05:00 - 04.04.2021 05:15","39609","40117"
"04.04.2021 05:15 - 04.04.2021 05:30","39556","40379"
"04.04.2021 05:30 - 04.04.2021 05:45","39256","40161"
"04.04.2021 05:45 - 04.04.2021 06:00","38994","40272"
"04.04.2021 06:00 - 04.04.2021 06:15","38271","40268"
"04.04.2021 06:15 - 04.04.2021 06:30","38637","40304"
"04.04.2021 06:30 - 04.04.2021 06:45","38095","40420"
"04.04.2021 06:45 - 04.04.2021 07:00","38428","40528"
"04.04.2021 07:00 - 04.04.2021 07:15","38238","40736"
"04.04.2021 07:15 - 04.04.2021 07:30","38548","41310"
"04.04.2021 07:30 - 04.04.2021 07:45","39060","42101"
"04.04.2021 07:45 - 04.04.2021 08:00","39186","42931"
"04.04.2021 08:00 - 04.04.2021 08:15","40475","43889"
"04.04.2021 08:15 - 04.04.2021 08:30","41355","45114"
"04.04.2021 08:30 - 04.04.2021 08:45","41879","45934"
"04.04.2021 08:45 - 04.04.2021 09:00","42918","46708"
"04.04.2021 09:00 - 04.04.2021 09:15","43834","47619"
"04.04.2021 09:15 - 04.04.2021 09:30","44709","48444"
"04.04.2021 09:30 - 04.04.2021 09:45","45443","49182"
"04.04.2021 09:45 - 04.04.2021 10:00","46158","50002"
"04.04.2021 10:00 - 04.04.2021 10:15","46601","50394"
"04.04.2021 10:15 - 04.04.2021 10:30","47148","50950"
"04.04.2021 10:30 - 04.04.2021 10:45","47699","51207"
"04.04.2021 10:45 - 04.04.2021 11:00","48712","51821"
"04.04.2021 11:00 - 04.04.2021 11:15","49663","52274"
"04.04.2021 11:15 - 04.04.2021 11:30","50455","52773"
"04.04.2021 11:30 - 04.04.2021 11:45","50865","53190"
"04.04.2021 11:45 - 04.04.2021 12:00","50846","53228"
"04.04.2021 12:00 - 04.04.2021 12:15","50284","52665"
"04.04.2021 12:15 - 04.04.2021 12:30","50376","52046"
"04.04.2021 12:30 - 04.04.2021 12:45","49951","51498"
"04.04.2021 12:45 - 04.04.2021 13:00","49750","51213"
"04.04.2021 13:00 - 04.04.2021 13:15","48852","50674"
"04.04.2021 13:15 - 04.04.2021 13:30","48248","50121"
"04.04.2021 13:30 - 04.04.2021 13:45","47715","49812"
"04.04.2021 13:45 - 04.04.2021 14:00","47224","49388"
"04.04.2021 14:00 - 04.04.2021 14:15","46591","48810"
"04.04.2021 14:15 - 04.04.2021 14:30","46240","48255"
"04.04.2021 14:30 - 04.04.2021 14:45","45918","48071"
"04.04.2021 14:45 - 04.04.2021 15:00","46001","47733"
"04.04.2021 15:00 - 04.04.2021 15:15","45743","47772"
"04.04.2021 15:15 - 04.04.2021 15:30","45271","47348"
"04.04.2021 15:30 - 04.04.2021 15:45","45245","47198"
"04.04.2021 15:45 - 04.04.2021 16:00","45641","46963"
"04.04.2021 16:00 - 04.04.2021 16:15","45631","46657"
"04.04.2021 16:15 - 04.04.2021 16:30","45636","46480"
"04.04.2021 16:30 - 04.04.2021 16:45","45473","46580"
"04.04.2021 16:45 - 04.04.2021 17:00","45812","46713"
"04.04.2021 17:00 - 04.04.2021 17:15","46464","47113"
"04.04.2021 17:15 - 04.04.2021 17:30","46686","47393"
"04.04.2021 17:30 - 04.04.2021 17:45","47214","47849"
"04.04.2021 17:45 - 04.04.2021 18:00","47705","48136"
"04.04.2021 18:00 - 04.04.2021 18:15","48228","48993"
"04.04.2021 18:15 - 04.04.2021 18:30","48585","48997"
"04.04.2021 18:30 - 04.04.2021 18:45","48944","49277"
"04.04.2021 18:45 - 04.04.2021 19:00","49114","49472"
"04.04.2021 19:00 - 04.04.2021 19:15","49694","49429"
"04.04.2021 19:15 - 04.04.2021 19:30","49216","49457"
"04.04.2021 19:30 - 04.04.2021 19:45","49784","49567"
"04.04.2021 19:45 - 04.04.2021 20:00","49508","50087"
"04.04.2021 20:00 - 04.04.2021 20:15","49361","50803"
"04.04.2021 20:15 - 04.04.2021 20:30","49223","51343"
"04.04.2021 20:30 - 04.04.2021 20:45","49110","51112"
"04.04.2021 20:45 - 04.04.2021 21:00","48789","50786"
"04.04.2021 21:00 - 04.04.2021 21:15","48177","50425"
"04.04.2021 21:15 - 04.04.2021 21:30","48087","50001"
"04.04.2021 21:30 - 04.04.2021 21:45","47898","49673"
"04.04.2021 21:45 - 04.04.2021 22:00","47935","49302"
"04.04.2021 22:00 - 04.04.2021 22:15","48082","49170"
"04.04.2021 22:15 - 04.04.2021 22:30","47714","48933"
"04.04.2021 22:30 - 04.04.2021 22:45","47533","48401"
"04.04.2021 22:45 - 04.04.2021 23:00","46720","47976"
"04.04.2021 23:00 - 04.04.2021 23:15","45978","46816"
"04.04.2021 23:15 - 04.04.2021 23:30","45183","46234"
"04.04.2021 23:30 - 04.04.2021 23:45","44589","46055"
"04.04.2021 23:45 - 05.04.2021 00:00","44149","45595"
"05.04.2021 00:00 - 05.04.2021 00:15","44746","45059"
"05.04.2021 00:15 - 05.04.2021 00:30","44530","44564"
"05.04.2021 00:30 - 05.04.2021 00:45","44217","44218"
"05.04.2021 00:45 - 05.04.2021 01:00","43731","43799"
"05.04.2021 01:00 - 05.04.2021 01:15","43022","43094"
"05.04.2021 01:15 - 05.04.2021 01:30","42173","42960"
"05.04.2021 01:30 - 05.04.2021 01:45","42239","42623"
"05.04.2021 01:45 - 05.04.2021 02:00","41717","42539"
"05.04.2021 02:00 - 05.04.2021 02:15","41306","42429"
"05.04.2021 02:15 - 05.04.2021 02:30","41317","42526"
"05.04.2021 02:30 - 05.04.2021 02:45","41098","42433"
"05.04.2021 02:45 - 05.04.2021 03:00","41116","42360"
"05.04.2021 03:00 - 05.04.2021 03:15","41074","42550"
"05.04.2021 03:15 - 05.04.2021 03:30","41105","42429"
"05.04.2021 03:30 - 05.04.2021 03:45","40945","42643"
"05.04.2021 03:45 - 05.04.2021 04:00","41164","42996"
"05.04.2021 04:00 - 05.04.2021 04:15","41165","42871"
"05.04.2021 04:15 - 05.04.2021 04:30","41526","42709"
"05.04.2021 04:30 - 05.04.2021 04:45","41370","43010"
"05.04.2021 04:45 - 05.04.2021 05:00","41616","43060"
"05.04.2021 05:00 - 05.04.2021 05:15","42032","43607"
"05.04.2021 05:15 - 05.04.2021 05:30","41888","43484"
"05.04.2021 05:30 - 05.04.2021 05:45","41879","43677"
"05.04.2021 05:45 - 05.04.2021 06:00","41714","43915"
"05.04.2021 06:00 - 05.04.2021 06:15","41370","44031"
"05.04.2021 06:15 - 05.04.2021 06:30","42139","44187"
"05.04.2021 06:30 - 05.04.2021 06:45","42195","44435"
"05.04.2021 06:45 - 05.04.2021 07:00","42523","44414"
"05.04.2021 07:00 - 05.04.2021 07:15","42818","44756"
"05.04.2021 07:15 - 05.04.2021 07:30","43421","45145"
"05.04.2021 07:30 - 05.04.2021 07:45","43848","45684"
"05.04.2021 07:45 - 05.04.2021 08:00","44054","46438"
"05.04.2021 08:00 - 05.04.2021 08:15","45024","47167"
"05.04.2021 08:15 - 05.04.2021 08:30","45591","47890"
"05.04.2021 08:30 - 05.04.2021 08:45","46545","48959"
"05.04.2021 08:45 - 05.04.2021 09:00","47496","49608"
"05.04.2021 09:00 - 05.04.2021 09:15","47906","50731"
"05.04.2021 09:15 - 05.04.2021 09:30","48774","51764"
"05.04.2021 09:30 - 05.04.2021 09:45","49719","52447"
"05.04.2021 09:45 - 05.04.2021 10:00","50129","53258"
"05.04.2021 10:00 - 05.04.2021 10:15","50650","53794"
"05.04.2021 10:15 - 05.04.2021 10:30","51209","54223"
"05.04.2021 10:30 - 05.04.2021 10:45","51619","54961"
"05.04.2021 10:45 - 05.04.2021 11:00","52496","55502"
"05.04.2021 11:00 - 05.04.2021 11:15","53093","56094"
"05.04.2021 11:15 - 05.04.2021 11:30","53915","56939"
"05.04.2021 11:30 - 05.04.2021 11:45","54457","57576"
"05.04.2021 11:45 - 05.04.2021 12:00","54574","57627"
"05.04.2021 12:00 - 05.04.2021 12:15","54397","57743"
"05.04.2021 12:15 - 05.04.2021 12:30","54406","57289"
"05.04.2021 12:30 - 05.04.2021 12:45","53685","56895"
"05.04.2021 12:45 - 05.04.2021 13:00","53515","56564"
"05.04.2021 13:00 - 05.04.2021 13:15","52330","55863"
"05.04.2021 13:15 - 05.04.2021 13:30","51574","55433"
"05.04.2021 13:30 - 05.04.2021 13:45","51113","55340"
"05.04.2021 13:45 - 05.04.2021 14:00","50445","54841"
"05.04.2021 14:00 - 05.04.2021 14:15","50064","54677"
"05.04.2021 14:15 - 05.04.2021 14:30","49351","54191"
"05.04.2021 14:30 - 05.04.2021 14:45","48967","54045"
"05.04.2021 14:45 - 05.04.2021 15:00","48894","54436"
"05.04.2021 15:00 - 05.04.2021 15:15","49011","54356"
"05.04.2021 15:15 - 05.04.2021 15:30","48640","53762"
"05.04.2021 15:30 - 05.04.2021 15:45","48429","53653"
"05.04.2021 15:45 - 05.04.2021 16:00","48494","53150"
"05.04.2021 16:00 - 05.04.2021 16:15","48857","53373"
"05.04.2021 16:15 - 05.04.2021 16:30","48681","53316"
"05.04.2021 16:30 - 05.04.2021 16:45","48442","53150"
"05.04.2021 16:45 - 05.04.2021 17:00","48799","53455"
"05.04.2021 17:00 - 05.04.2021 17:15","49296","54496"
"05.04.2021 17:15 - 05.04.2021 17:30","49859","54634"
"05.04.2021 17:30 - 05.04.2021 17:45","50474","54874"
"05.04.2021 17:45 - 05.04.2021 18:00","50934","55437"
"05.04.2021 18:00 - 05.04.2021 18:15","51467","56608"
"05.04.2021 18:15 - 05.04.2021 18:30","51463","56761"
"05.04.2021 18:30 - 05.04.2021 18:45","51999","57032"
"05.04.2021 18:45 - 05.04.2021 19:00","52131","56694"
"05.04.2021 19:00 - 05.04.2021 19:15","52382","57144"
