"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"03.01.2022 02:00 - 03.01.2022 02:15","46771","43140"
"03.01.2022 02:15 - 03.01.2022 02:30","46839","42888"
"03.01.2022 02:30 - 03.01.2022 02:45","46729","43048"
"03.01.2022 02:45 - 03.01.2022 03:00","46743","42993"
"03.01.2022 03:00 - 03.01.2022 03:15","46860","43393"
"03.01.2022 03:15 - 03.01.2022 03:30","47001","43287"
"03.01.2022 03:30 - 03.01.2022 03:45","47271","43551"
"03.01.2022 03:45 - 03.01.2022 04:00","47500","43970"
"03.01.2022 04:00 - 03.01.2022 04:15","48123","44319"
"03.01.2022 04:15 - 03.01.2022 04:30","48392","44539"
"03.01.2022 04:30 - 03.01.2022 04:45","48690","45079"
"03.01.2022 04:45 - 03.01.2022 05:00","49295","46166"
"03.01.2022 05:00 - 03.01.2022 05:15","50318","47691"
"03.01.2022 05:15 - 03.01.2022 05:30","50700","48324"
"03.01.2022 05:30 - 03.01.2022 05:45","51842","48934"
"03.01.2022 05:45 - 03.01.2022 06:00","53105","50479"
"03.01.2022 06:00 - 03.01.2022 06:15","54867","53369"
"03.01.2022 06:15 - 03.01.2022 06:30","56330","55055"
"03.01.2022 06:30 - 03.01.2022 06:45","57691","56903"
"03.01.2022 06:45 - 03.01.2022 07:00","58987","58494"
"03.01.2022 07:00 - 03.01.2022 07:15","60645","60380"
"03.01.2022 07:15 - 03.01.2022 07:30","61364","61663"
"03.01.2022 07:30 - 03.01.2022 07:45","62099","62730"
"03.01.2022 07:45 - 03.01.2022 08:00","62796","64025"
"03.01.2022 08:00 - 03.01.2022 08:15","63814","64912"
"03.01.2022 08:15 - 03.01.2022 08:30","64090","65512"
"03.01.2022 08:30 - 03.01.2022 08:45","64392","65924"
"03.01.2022 08:45 - 03.01.2022 09:00","64840","66353"
"03.01.2022 09:00 - 03.01.2022 09:15","64757","66727"
"03.01.2022 09:15 - 03.01.2022 09:30","65480","66874"
"03.01.2022 09:30 - 03.01.2022 09:45","65930","67258"
"03.01.2022 09:45 - 03.01.2022 10:00","65905","67529"
"03.01.2022 10:00 - 03.01.2022 10:15","65576","67976"
"03.01.2022 10:15 - 03.01.2022 10:30","65559","68539"
"03.01.2022 10:30 - 03.01.2022 10:45","65927","68781"
"03.01.2022 10:45 - 03.01.2022 11:00","66319","68808"
"03.01.2022 11:00 - 03.01.2022 11:15","66833","69309"
"03.01.2022 11:15 - 03.01.2022 11:30","67265","70048"
"03.01.2022 11:30 - 03.01.2022 11:45","67618","70466"
"03.01.2022 11:45 - 03.01.2022 12:00","67561","70643"
"03.01.2022 12:00 - 03.01.2022 12:15","67682","70868"
"03.01.2022 12:15 - 03.01.2022 12:30","67667","70814"
"03.01.2022 12:30 - 03.01.2022 12:45","67533","70804"
"03.01.2022 12:45 - 03.01.2022 13:00","67734","70627"
"03.01.2022 13:00 - 03.01.2022 13:15","67457","70700"
"03.01.2022 13:15 - 03.01.2022 13:30","67044","70180"
"03.01.2022 13:30 - 03.01.2022 13:45","66618","69725"
"03.01.2022 13:45 - 03.01.2022 14:00","66161","69277"
"03.01.2022 14:00 - 03.01.2022 14:15","65893","69007"
"03.01.2022 14:15 - 03.01.2022 14:30","65811","68982"
"03.01.2022 14:30 - 03.01.2022 14:45","65508","68879"
"03.01.2022 14:45 - 03.01.2022 15:00","65038","68910"
"03.01.2022 15:00 - 03.01.2022 15:15","65071","68586"
"03.01.2022 15:15 - 03.01.2022 15:30","64873","68113"
"03.01.2022 15:30 - 03.01.2022 15:45","64518","67647"
"03.01.2022 15:45 - 03.01.2022 16:00","64557","67370"
"03.01.2022 16:00 - 03.01.2022 16:15","64940","67904"
"03.01.2022 16:15 - 03.01.2022 16:30","65289","68091"
"03.01.2022 16:30 - 03.01.2022 16:45","65865","68776"
"03.01.2022 16:45 - 03.01.2022 17:00","66580","69379"
"03.01.2022 17:00 - 03.01.2022 17:15","67371","70240"
"03.01.2022 17:15 - 03.01.2022 17:30","67652","70727"
"03.01.2022 17:30 - 03.01.2022 17:45","67782","71026"
"03.01.2022 17:45 - 03.01.2022 18:00","67750","71322"
"03.01.2022 18:00 - 03.01.2022 18:15","67721","70976"
"03.01.2022 18:15 - 03.01.2022 18:30","67601","70844"
"03.01.2022 18:30 - 03.01.2022 18:45","67435","70698"
"03.01.2022 18:45 - 03.01.2022 19:00","67465","70073"
"03.01.2022 19:00 - 03.01.2022 19:15","67433","69769"
"03.01.2022 19:15 - 03.01.2022 19:30","66966","68963"
"03.01.2022 19:30 - 03.01.2022 19:45","66568","68288"
"03.01.2022 19:45 - 03.01.2022 20:00","66241","67788"
"03.01.2022 20:00 - 03.01.2022 20:15","65582","66468"
"03.01.2022 20:15 - 03.01.2022 20:30","65105","65118"
"03.01.2022 20:30 - 03.01.2022 20:45","64105","64013"
"03.01.2022 20:45 - 03.01.2022 21:00","63327","62978"
"03.01.2022 21:00 - 03.01.2022 21:15","63188","62071"
"03.01.2022 21:15 - 03.01.2022 21:30","62721","61060"
"03.01.2022 21:30 - 03.01.2022 21:45","61943","60195"
"03.01.2022 21:45 - 03.01.2022 22:00","61306","59781"
"03.01.2022 22:00 - 03.01.2022 22:15","61180","59566"
"03.01.2022 22:15 - 03.01.2022 22:30","60464","58500"
"03.01.2022 22:30 - 03.01.2022 22:45","59351","57267"
"03.01.2022 22:45 - 03.01.2022 23:00","58538","56222"
"03.01.2022 23:00 - 03.01.2022 23:15","57336","55298"
"03.01.2022 23:15 - 03.01.2022 23:30","56516","54575"
"03.01.2022 23:30 - 03.01.2022 23:45","55789","53765"
"03.01.2022 23:45 - 04.01.2022 00:00","55395","53066"
"04.01.2022 00:00 - 04.01.2022 00:15","54698","52063"
"04.01.2022 00:15 - 04.01.2022 00:30","54039","51578"
"04.01.2022 00:30 - 04.01.2022 00:45","53562","50902"
"04.01.2022 00:45 - 04.01.2022 01:00","52811","50184"
"04.01.2022 01:00 - 04.01.2022 01:15","52209","49388"
"04.01.2022 01:15 - 04.01.2022 01:30","51877","48955"
"04.01.2022 01:30 - 04.01.2022 01:45","51632","48749"
"04.01.2022 01:45 - 04.01.2022 02:00","51352","48563"
"04.01.2022 02:00 - 04.01.2022 02:15","51089","48099"
"04.01.2022 02:15 - 04.01.2022 02:30","51128","48147"
"04.01.2022 02:30 - 04.01.2022 02:45","51045","48087"
"04.01.2022 02:45 - 04.01.2022 03:00","50983","48095"
"04.01.2022 03:00 - 04.01.2022 03:15","50908","48445"
"04.01.2022 03:15 - 04.01.2022 03:30","51162","48467"
"04.01.2022 03:30 - 04.01.2022 03:45","51352","48542"
"04.01.2022 03:45 - 04.01.2022 04:00","51492","48853"
"04.01.2022 04:00 - 04.01.2022 04:15","51948","49073"
"04.01.2022 04:15 - 04.01.2022 04:30","52173","49409"
"04.01.2022 04:30 - 04.01.2022 04:45","52426","50081"
"04.01.2022 04:45 - 04.01.2022 05:00","52994","50420"
"04.01.2022 05:00 - 04.01.2022 05:15","53811","51248"
"04.01.2022 05:15 - 04.01.2022 05:30","54379","51837"
"04.01.2022 05:30 - 04.01.2022 05:45","55279","52806"
"04.01.2022 05:45 - 04.01.2022 06:00","56296","54159"
"04.01.2022 06:00 - 04.01.2022 06:15","57763","56440"
"04.01.2022 06:15 - 04.01.2022 06:30","59055","57777"
"04.01.2022 06:30 - 04.01.2022 06:45","60092","58708"
"04.01.2022 06:45 - 04.01.2022 07:00","61046","59936"
"04.01.2022 07:00 - 04.01.2022 07:15","62352","61683"
"04.01.2022 07:15 - 04.01.2022 07:30","63370","62489"
"04.01.2022 07:30 - 04.01.2022 07:45","64352","63659"
"04.01.2022 07:45 - 04.01.2022 08:00","65046","64816"
"04.01.2022 08:00 - 04.01.2022 08:15","66174","65889"
"04.01.2022 08:15 - 04.01.2022 08:30","66659","66616"
"04.01.2022 08:30 - 04.01.2022 08:45","67033","66912"
"04.01.2022 08:45 - 04.01.2022 09:00","67522","67111"
"04.01.2022 09:00 - 04.01.2022 09:15","67506","67538"
"04.01.2022 09:15 - 04.01.2022 09:30","68039","67856"
"04.01.2022 09:30 - 04.01.2022 09:45","68566","68050"
"04.01.2022 09:45 - 04.01.2022 10:00","68538","68352"
"04.01.2022 10:00 - 04.01.2022 10:15","68147","68219"
"04.01.2022 10:15 - 04.01.2022 10:30","68300","68576"
"04.01.2022 10:30 - 04.01.2022 10:45","68430","68715"
"04.01.2022 10:45 - 04.01.2022 11:00","68816","69162"
"04.01.2022 11:00 - 04.01.2022 11:15","68969","69350"
"04.01.2022 11:15 - 04.01.2022 11:30","69367","69926"
"04.01.2022 11:30 - 04.01.2022 11:45","69771","70352"
"04.01.2022 11:45 - 04.01.2022 12:00","69900","70640"
"04.01.2022 12:00 - 04.01.2022 12:15","69946","70584"
"04.01.2022 12:15 - 04.01.2022 12:30","69733","70454"
"04.01.2022 12:30 - 04.01.2022 12:45","69812","70290"
"04.01.2022 12:45 - 04.01.2022 13:00","69850","69946"
"04.01.2022 13:00 - 04.01.2022 13:15","69694","69983"
"04.01.2022 13:15 - 04.01.2022 13:30","69141","69446"
"04.01.2022 13:30 - 04.01.2022 13:45","68600","69150"
"04.01.2022 13:45 - 04.01.2022 14:00","68190","68827"
"04.01.2022 14:00 - 04.01.2022 14:15","68010","68833"
"04.01.2022 14:15 - 04.01.2022 14:30","67882","68529"
"04.01.2022 14:30 - 04.01.2022 14:45","67572","68615"
"04.01.2022 14:45 - 04.01.2022 15:00","67180","68569"
"04.01.2022 15:00 - 04.01.2022 15:15","67034","68416"
"04.01.2022 15:15 - 04.01.2022 15:30","66737","68420"
"04.01.2022 15:30 - 04.01.2022 15:45","66386","68372"
"04.01.2022 15:45 - 04.01.2022 16:00","66329","68655"
"04.01.2022 16:00 - 04.01.2022 16:15","66608","68929"
"04.01.2022 16:15 - 04.01.2022 16:30","66895","68984"
"04.01.2022 16:30 - 04.01.2022 16:45","67472","69166"
"04.01.2022 16:45 - 04.01.2022 17:00","68180","69653"
"04.01.2022 17:00 - 04.01.2022 17:15","68895","70020"
"04.01.2022 17:15 - 04.01.2022 17:30","69342","70542"
"04.01.2022 17:30 - 04.01.2022 17:45","69480","71006"
"04.01.2022 17:45 - 04.01.2022 18:00","69529","71038"
"04.01.2022 18:00 - 04.01.2022 18:15","69560","70531"
"04.01.2022 18:15 - 04.01.2022 18:30","69460","70542"
"04.01.2022 18:30 - 04.01.2022 18:45","69102","70368"
"04.01.2022 18:45 - 04.01.2022 19:00","69170","70117"
"04.01.2022 19:00 - 04.01.2022 19:15","68970","69794"
"04.01.2022 19:15 - 04.01.2022 19:30","68474","69118"
"04.01.2022 19:30 - 04.01.2022 19:45","67973","68854"
"04.01.2022 19:45 - 04.01.2022 20:00","67567","68064"
"04.01.2022 20:00 - 04.01.2022 20:15","66717","66836"
"04.01.2022 20:15 - 04.01.2022 20:30","66354","65586"
"04.01.2022 20:30 - 04.01.2022 20:45","65477","64609"
"04.01.2022 20:45 - 04.01.2022 21:00","64581","63613"
"04.01.2022 21:00 - 04.01.2022 21:15","64364","63129"
"04.01.2022 21:15 - 04.01.2022 21:30","63924","62280"
"04.01.2022 21:30 - 04.01.2022 21:45","63191","61567"
"04.01.2022 21:45 - 04.01.2022 22:00","62565","60888"
"04.01.2022 22:00 - 04.01.2022 22:15","62418","60149"
"04.01.2022 22:15 - 04.01.2022 22:30","61823","59396"
"04.01.2022 22:30 - 04.01.2022 22:45","60813","58438"
"04.01.2022 22:45 - 04.01.2022 23:00","59922","57761"
"04.01.2022 23:00 - 04.01.2022 23:15","58630","56921"
"04.01.2022 23:15 - 04.01.2022 23:30","57831","55739"
"04.01.2022 23:30 - 04.01.2022 23:45","57101","54915"
"04.01.2022 23:45 - 05.01.2022 00:00","56572","54277"
"05.01.2022 00:00 - 05.01.2022 00:15","55357","53714"
"05.01.2022 00:15 - 05.01.2022 00:30","54723","53296"
"05.01.2022 00:30 - 05.01.2022 00:45","54207","52600"
"05.01.2022 00:45 - 05.01.2022 01:00","53692","52088"
"05.01.2022 01:00 - 05.01.2022 01:15","53412","51805"
"05.01.2022 01:15 - 05.01.2022 01:30","53145","51136"
"05.01.2022 01:30 - 05.01.2022 01:45","52927","50761"
"05.01.2022 01:45 - 05.01.2022 02:00","52925","50460"
"05.01.2022 02:00 - 05.01.2022 02:15","52803","50134"
"05.01.2022 02:15 - 05.01.2022 02:30","52808","49950"
"05.01.2022 02:30 - 05.01.2022 02:45","52754","50147"
"05.01.2022 02:45 - 05.01.2022 03:00","52746","50368"
"05.01.2022 03:00 - 05.01.2022 03:15","52757","50761"
"05.01.2022 03:15 - 05.01.2022 03:30","52977","51046"
"05.01.2022 03:30 - 05.01.2022 03:45","53238","51398"
"05.01.2022 03:45 - 05.01.2022 04:00","53368","51386"
"05.01.2022 04:00 - 05.01.2022 04:15","53288","52166"
"05.01.2022 04:15 - 05.01.2022 04:30","53234","52456"
"05.01.2022 04:30 - 05.01.2022 04:45","53718","52832"
"05.01.2022 04:45 - 05.01.2022 05:00","54216","53513"
"05.01.2022 05:00 - 05.01.2022 05:15","54737","54645"
"05.01.2022 05:15 - 05.01.2022 05:30","55263","55291"
"05.01.2022 05:30 - 05.01.2022 05:45","55997","56601"
"05.01.2022 05:45 - 05.01.2022 06:00","56858","57674"
"05.01.2022 06:00 - 05.01.2022 06:15","58240","59779"
"05.01.2022 06:15 - 05.01.2022 06:30","59433","61549"
"05.01.2022 06:30 - 05.01.2022 06:45","60508","62748"
"05.01.2022 06:45 - 05.01.2022 07:00","61457","63824"
"05.01.2022 07:00 - 05.01.2022 07:15","62453","65809"
"05.01.2022 07:15 - 05.01.2022 07:30","65608","67062"
"05.01.2022 07:30 - 05.01.2022 07:45","66559","68252"
"05.01.2022 07:45 - 05.01.2022 08:00","67567","69241"
"05.01.2022 08:00 - 05.01.2022 08:15","69255","70342"
"05.01.2022 08:15 - 05.01.2022 08:30","69115","70790"
"05.01.2022 08:30 - 05.01.2022 08:45","69610","71113"
"05.01.2022 08:45 - 05.01.2022 09:00","69965","71453"
"05.01.2022 09:00 - 05.01.2022 09:15","70262","71937"
"05.01.2022 09:15 - 05.01.2022 09:30","70692","72283"
"05.01.2022 09:30 - 05.01.2022 09:45","71225","72527"
